ID	text,image
1	neutral,positive
2	neutral,positive
3	neutral,positive
4	positive,positive
5	positive,positive
6	positive,positive
7	positive,positive
8	neutral,positive
9	positive,positive
10	negative,negative
11	positive,positive
12	positive,positive
13	positive,positive
14	positive,positive
15	positive,positive
16	positive,positive
17	positive,positive
18	neutral,positive
19	negative,negative
20	neutral,positive
21	positive,positive
22	negative,negative
23	positive,positive
24	neutral,neutral
25	neutral,neutral
